tic,fyear,at,sale,ni
AAPL,2010,75183.0,65225.0,14013.0
AAPL,2010,,,
AAPL,2011,116371.0,108249.0,25922.0
AAPL,2011,,,
AAPL,2012,,,
AAPL,2012,176064.0,156508.0,41733.0
AAPL,2013,207000.0,170910.0,37037.0
AAPL,2013,,,
AAPL,2014,231839.0,182795.0,39510.0
AAPL,2014,,,
AAPL,2015,290479.0,233715.0,53394.0
AAPL,2015,,,
AAPL,2016,321686.0,215091.0,45687.0
AAPL,2016,321686.0,215091.0,45687.0
AAPL,2017,375319.0,229234.0,48351.0
AAPL,2017,375319.0,229234.0,48351.0
AAPL,2018,365725.0,265359.0,59531.0
AAPL,2018,365725.0,265359.0,59531.0
AAPL,2019,338516.0,260174.0,55256.0
AAPL,2019,338516.0,260174.0,55256.0
AAPL,2020,323888.0,274515.0,57411.0
AAPL,2020,323888.0,274515.0,57411.0
AAPL,2021,351002.0,365817.0,94680.0
AAPL,2021,351002.0,365817.0,94680.0
AAPL,2022,352755.0,394328.0,99803.0
AAPL,2022,352755.0,394328.0,99803.0
AAPL,2023,352583.0,383285.0,96995.0
AAPL,2023,352583.0,383285.0,96995.0
AAPL,2024,364980.0,391035.0,93736.0
AAPL,2024,364980.0,391035.0,93736.0
AAPL,2025,359241.0,416161.0,112010.0
AAPL,2025,359241.0,416161.0,112010.0
